UTC,Call,Sender wallet,Transaction hash,Status,Contract,Block
2026-09-12T10:48:59.000Z,collect,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x76b7126037dea19a4e1f13b085db44d4d4ce4ad4aa1e873c6ec9743bdf5377d7,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20467432
2026-09-12T10:49:05.000Z,distribute,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x1123cc04d62649c2a280db50eed3de74e0f9385131686512b9ef3a86be1d61eb,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20467444
2026-09-12T10:49:12.000Z,claim,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xd0c99640fc3631e06a124573e1e1ffea67378d9ea72dd5cb09b0d5e680641e7c,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20467457
2026-09-12T12:25:33.000Z,collect,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x18df6cd91cbde5cf778d3635fed8ccd0e08287e09093671580d79b2dceda7e27,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20478881
2026-09-12T12:25:39.000Z,distribute,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x67b60a0cd7287f5661270266cd994b3eb7da75acfae1c7b818ea2a329e79a565,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20478894
2026-09-12T12:25:47.000Z,claim,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xeaf890aba13c7f8fa17c501edd99c3f6e865600020ccbad641111741a032cf62,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20478909
2026-09-12T14:09:38.000Z,collect,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0x3234d85d7a12dfb1c196135760c98cdb57b7ee570897aa173ca82bcefc0f2c55,success,0x310baFC75bFF39BEf7BFdCDcBeF6Cac140e37fBe,20491225
2026-09-12T14:09:40.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0xe779d1abe32655b21a951b98a9548f295187e940811619a21b71dac805148d83,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20491230
2026-09-12T14:10:46.000Z,distribute,0x94526A5Fb9d18545Ff1767C8A6ffD3eF1c716b6c,0xbea0d5093ad7475aec9e015657731e68d725671e4581d778e58152ccea624452,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20491358
2026-09-12T14:29:55.000Z,distribute,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0x9207dcbd51706335973d5f882d1c8168b04ff17c0f5110e4d18279b7e12e17d9,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20493630
2026-09-12T14:30:03.000Z,claim,0x7d381D70e3Cc6532Fd5546e5439bC3D5CeCD28DC,0xaf4a1acfd6ca10842335b171991e0a307974808b1ad3dc01aa698ed54cb5ee7c,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20493645
2026-09-12T15:14:05.000Z,distribute,0x96145386E08123F311EBe5c3548EBe706f0d85Dc,0x4bbec4d06ab7c508ec581bf7b3878eb00c8f13caa09b87e82734cc2cfcc129e9,success,0x13F5F9011f399067A80125D48c248B14791d1b2c,20498874
